Country,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
India,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy
Brazil,46,Good,1,Good,9,Good,1,Good,46,Good
Mexico,172,Unhealthy,5,Good,2,Good,11,Good,172,Unhealthy
Mexico,64,Moderate,1,Good,15,Good,2,Good,64,Moderate
Italy,44,Good,1,Good,44,Good,1,Good,38,Good
Viet Nam,150,Unhealthy,3,Good,150,Unhealthy,1,Good,105,Unhealthy for Sensitive Groups
China,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups
Indonesia,21,Good,0,Good,13,Good,0,Good,21,Good
Romania,47,Good,1,Good,42,Good,0,Good,47,Good
Tunisia,48,Good,1,Good,48,Good,1,Good,29,Good
Philippines,54,Moderate,1,Good,20,Good,0,Good,54,Moderate
Japan,60,Moderate,1,Good,44,Good,3,Good,60,Moderate
Mexico,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy
Brazil,27,Good,0,Good,23,Good,1,Good,27,Good
Brazil,23,Good,1,Good,7,Good,1,Good,23,Good
Brazil,31,Good,1,Good,13,Good,0,Good,31,Good
Mexico,88,Moderate,3,Good,13,Good,9,Good,88,Moderate
El Salvador,90,Moderate,2,Good,22,Good,9,Good,90,Moderate
United Republic of Tanzania,28,Good,1,Good,15,Good,0,Good,28,Good
Russian Federation,51,Moderate,1,Good,38,Good,0,Good,51,Moderate
India,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy
Brazil,22,Good,0,Good,9,Good,1,Good,22,Good
India,168,Unhealthy,4,Good,168,Unhealthy,1,Good,156,Unhealthy
Bulgaria,40,Good,1,Good,40,Good,0,Good,32,Good
Poland,47,Good,1,Good,27,Good,2,Good,47,Good
Philippines,59,Moderate,1,Good,32,Good,0,Good,59,Moderate
Nigeria,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups
Finland,29,Good,1,Good,29,Good,1,Good,7,Good
