Country,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
France,39,Good,1,Good,39,Good,1,Good,35,Good
France,42,Good,1,Good,42,Good,2,Good,31,Good
Indonesia,83,Moderate,2,Good,49,Good,1,Good,83,Moderate
Belarus,34,Good,1,Good,34,Good,0,Good,23,Good
Italy,59,Moderate,1,Good,40,Good,1,Good,59,Moderate
India,155,Unhealthy,3,Good,125,Unhealthy for Sensitive Groups,0,Good,155,Unhealthy
Botswana,69,Moderate,2,Good,15,Good,1,Good,69,Moderate
India,170,Unhealthy,0,Good,28,Good,0,Good,170,Unhealthy
Iran (Islamic Republic of),58,Moderate,1,Good,45,Good,0,Good,58,Moderate
Germany,58,Moderate,1,Good,30,Good,6,Good,58,Moderate
India,154,Unhealthy,3,Good,92,Moderate,1,Good,154,Unhealthy
Switzerland,54,Moderate,1,Good,36,Good,1,Good,54,Moderate
Germany,56,Moderate,1,Good,38,Good,2,Good,56,Moderate
Canada,42,Good,1,Good,33,Good,1,Good,42,Good
Germany,61,Moderate,1,Good,31,Good,4,Good,61,Moderate
Brazil,62,Moderate,1,Good,8,Good,4,Good,62,Moderate
United States of America,63,Moderate,1,Good,19,Good,10,Good,63,Moderate
United States of America,67,Moderate,3,Good,6,Good,13,Good,67,Moderate
Germany,68,Moderate,1,Good,38,Good,5,Good,68,Moderate
Argentina,21,Good,0,Good,15,Good,1,Good,21,Good
United States of America,39,Good,1,Good,33,Good,5,Good,39,Good
United States of America,90,Moderate,2,Good,11,Good,24,Good,90,Moderate
Netherlands,60,Moderate,1,Good,25,Good,7,Good,60,Moderate
Romania,51,Moderate,1,Good,39,Good,0,Good,51,Moderate
United States of America,39,Good,1,Good,31,Good,8,Good,39,Good
Germany,59,Moderate,1,Good,37,Good,2,Good,59,Moderate
Russian Federation,34,Good,1,Good,34,Good,0,Good,19,Good
United Republic of Tanzania,20,Good,0,Good,20,Good,0,Good,16,Good
Germany,68,Moderate,2,Good,23,Good,11,Good,68,Moderate
India,77,Moderate,1,Good,49,Good,0,Good,77,Moderate
Saudi Arabia,168,Unhealthy,1,Good,121,Unhealthy for Sensitive Groups,0,Good,168,Unhealthy
Germany,75,Moderate,1,Good,36,Good,4,Good,75,Moderate
Russian Federation,30,Good,1,Good,30,Good,0,Good,22,Good
Russian Federation,43,Good,1,Good,27,Good,2,Good,43,Good
India,158,Unhealthy,3,Good,148,Unhealthy for Sensitive Groups,0,Good,158,Unhealthy
Slovakia,82,Moderate,1,Good,35,Good,2,Good,82,Moderate
Indonesia,205,Very Unhealthy,5,Good,205,Very Unhealthy,4,Good,163,Unhealthy
France,31,Good,1,Good,31,Good,5,Good,31,Good
Russian Federation,55,Moderate,1,Good,35,Good,0,Good,55,Moderate
United States of America,36,Good,1,Good,33,Good,7,Good,36,Good
Italy,54,Moderate,1,Good,47,Good,3,Good,54,Moderate
Kazakhstan,90,Moderate,1,Good,63,Moderate,1,Good,90,Moderate
India,76,Moderate,0,Good,23,Good,0,Good,76,Moderate
Romania,71,Moderate,1,Good,38,Good,0,Good,71,Moderate
India,175,Unhealthy,1,Good,35,Good,0,Good,175,Unhealthy
France,69,Moderate,1,Good,20,Good,5,Good,69,Moderate
Germany,55,Moderate,1,Good,39,Good,3,Good,55,Moderate
Germany,33,Good,0,Good,33,Good,1,Good,13,Good
Brazil,32,Good,1,Good,11,Good,1,Good,32,Good
Zambia,125,Unhealthy for Sensitive Groups,2,Good,22,Good,2,Good,125,Unhealthy for Sensitive Groups
Brazil,59,Moderate,1,Good,11,Good,2,Good,59,Moderate
United Kingdom of Great Britain and Northern Ireland,33,Good,0,Good,33,Good,1,Good,16,Good
France,128,Unhealthy for Sensitive Groups,2,Good,26,Good,3,Good,128,Unhealthy for Sensitive Groups
India,185,Unhealthy,1,Good,37,Good,0,Good,185,Unhealthy
Ghana,31,Good,1,Good,23,Good,0,Good,31,Good
Russian Federation,40,Good,1,Good,40,Good,0,Good,28,Good
Saudi Arabia,170,Unhealthy,1,Good,74,Moderate,1,Good,170,Unhealthy
Ethiopia,137,Unhealthy for Sensitive Groups,1,Good,31,Good,0,Good,137,Unhealthy for Sensitive Groups
United Arab Emirates,170,Unhealthy,2,Good,170,Unhealthy,4,Good,150,Unhealthy
Mexico,182,Unhealthy,5,Good,2,Good,12,Good,182,Unhealthy
Mexico,103,Unhealthy for Sensitive Groups,3,Good,17,Good,4,Good,103,Unhealthy for Sensitive Groups
Nicaragua,51,Moderate,1,Good,16,Good,0,Good,51,Moderate
United States of America,56,Moderate,1,Good,29,Good,6,Good,56,Moderate
India,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
Turkey,57,Moderate,0,Good,38,Good,1,Good,57,Moderate
United States of America,51,Moderate,1,Good,23,Good,11,Good,51,Moderate
Colombia,87,Moderate,3,Good,6,Good,6,Good,87,Moderate
Colombia,99,Moderate,4,Good,7,Good,3,Good,99,Moderate
Mexico,78,Moderate,2,Good,15,Good,6,Good,78,Moderate
United States of America,106,Unhealthy for Sensitive Groups,2,Good,14,Good,4,Good,106,Unhealthy for Sensitive Groups
United States of America,77,Moderate,2,Good,34,Good,6,Good,77,Moderate
Spain,32,Good,1,Good,26,Good,2,Good,32,Good
France,57,Moderate,1,Good,30,Good,2,Good,57,Moderate
Algeria,154,Unhealthy,10,Good,33,Good,69,Moderate,154,Unhealthy
India,139,Unhealthy for Sensitive Groups,1,Good,40,Good,0,Good,139,Unhealthy for Sensitive Groups
Nigeria,89,Moderate,3,Good,18,Good,3,Good,89,Moderate
India,155,Unhealthy,3,Good,85,Moderate,1,Good,155,Unhealthy
Italy,59,Moderate,1,Good,44,Good,1,Good,59,Moderate
India,169,Unhealthy,2,Good,97,Moderate,0,Good,169,Unhealthy
Venezuela (Bolivarian Republic of),50,Good,1,Good,25,Good,1,Good,50,Good
Germany,53,Moderate,1,Good,38,Good,3,Good,53,Moderate
Germany,44,Good,1,Good,27,Good,4,Good,44,Good
Italy,75,Moderate,1,Good,41,Good,2,Good,75,Moderate
Cameroon,58,Moderate,3,Good,16,Good,1,Good,58,Moderate
India,129,Unhealthy for Sensitive Groups,1,Good,29,Good,0,Good,129,Unhealthy for Sensitive Groups
Brazil,13,Good,0,Good,13,Good,2,Good,12,Good
India,136,Unhealthy for Sensitive Groups,1,Good,42,Good,0,Good,136,Unhealthy for Sensitive Groups
Canada,83,Moderate,1,Good,42,Good,8,Good,83,Moderate
Switzerland,59,Moderate,1,Good,27,Good,3,Good,59,Moderate
Sweden,39,Good,1,Good,39,Good,1,Good,37,Good
China,179,Unhealthy,2,Good,46,Good,1,Good,179,Unhealthy
Pakistan,164,Unhealthy,3,Good,164,Unhealthy,1,Good,154,Unhealthy
Spain,33,Good,1,Good,32,Good,3,Good,33,Good
United States of America,163,Unhealthy,5,Good,4,Good,25,Good,163,Unhealthy
United States of America,60,Moderate,2,Good,37,Good,7,Good,60,Moderate
Brazil,58,Moderate,1,Good,11,Good,3,Good,58,Moderate
United States of America,38,Good,1,Good,22,Good,3,Good,38,Good
Italy,67,Moderate,1,Good,37,Good,4,Good,67,Moderate
Niger,164,Unhealthy,1,Good,20,Good,0,Good,164,Unhealthy
Tajikistan,125,Unhealthy for Sensitive Groups,1,Good,72,Moderate,0,Good,125,Unhealthy for Sensitive Groups
Angola,20,Good,0,Good,20,Good,0,Good,12,Good
Nigeria,128,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,128,Unhealthy for Sensitive Groups
Finland,35,Good,1,Good,35,Good,0,Good,16,Good
Italy,66,Moderate,1,Good,38,Good,2,Good,66,Moderate
Poland,35,Good,1,Good,35,Good,0,Good,16,Good
Japan,46,Good,2,Good,42,Good,1,Good,46,Good
Peru,36,Good,1,Good,5,Good,2,Good,36,Good
United Kingdom of Great Britain and Northern Ireland,54,Moderate,1,Good,24,Good,6,Good,54,Moderate
Italy,44,Good,1,Good,44,Good,1,Good,22,Good
United States of America,54,Moderate,1,Good,26,Good,11,Good,54,Moderate
South Africa,63,Moderate,3,Good,8,Good,3,Good,63,Moderate
Indonesia,201,Very Unhealthy,5,Good,201,Very Unhealthy,4,Good,161,Unhealthy
Indonesia,154,Unhealthy,3,Good,112,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy
India,23,Good,1,Good,23,Good,0,Good,21,Good
India,99,Moderate,1,Good,31,Good,1,Good,99,Moderate
Mexico,199,Unhealthy,3,Good,7,Good,13,Good,199,Unhealthy
India,64,Moderate,1,Good,28,Good,0,Good,64,Moderate
Canada,61,Moderate,1,Good,35,Good,1,Good,61,Moderate
United States of America,57,Moderate,1,Good,33,Good,5,Good,57,Moderate
Brazil,24,Good,0,Good,20,Good,1,Good,24,Good
Estonia,26,Good,1,Good,26,Good,1,Good,24,Good
United States of America,34,Good,1,Good,34,Good,7,Good,34,Good
Indonesia,171,Unhealthy,4,Good,171,Unhealthy,2,Good,150,Unhealthy
India,143,Unhealthy for Sensitive Groups,2,Good,61,Moderate,1,Good,143,Unhealthy for Sensitive Groups
India,134,Unhealthy for Sensitive Groups,3,Good,82,Moderate,1,Good,134,Unhealthy for Sensitive Groups
Italy,56,Moderate,1,Good,46,Good,0,Good,56,Moderate
Guatemala,103,Unhealthy for Sensitive Groups,4,Good,5,Good,12,Good,103,Unhealthy for Sensitive Groups
India,171,Unhealthy,4,Good,169,Unhealthy,1,Good,171,Unhealthy
United States of America,57,Moderate,1,Good,30,Good,4,Good,57,Moderate
Brazil,56,Moderate,1,Good,6,Good,4,Good,56,Moderate
Portugal,23,Good,1,Good,23,Good,5,Good,20,Good
China,123,Unhealthy for Sensitive Groups,3,Good,109,Unhealthy for Sensitive Groups,8,Good,123,Unhealthy for Sensitive Groups
Sri Lanka,71,Moderate,0,Good,23,Good,1,Good,71,Moderate
India,66,Moderate,0,Good,27,Good,0,Good,66,Moderate
Spain,51,Moderate,1,Good,31,Good,1,Good,51,Moderate
Kazakhstan,41,Good,1,Good,41,Good,0,Good,7,Good
Thailand,43,Good,0,Good,16,Good,2,Good,43,Good
Indonesia,75,Moderate,1,Good,46,Good,0,Good,75,Moderate
India,52,Moderate,1,Good,42,Good,0,Good,52,Moderate
Portugal,31,Good,1,Good,31,Good,5,Good,28,Good
India,164,Unhealthy,2,Good,77,Moderate,0,Good,164,Unhealthy
Brazil,159,Unhealthy,6,Good,0,Good,14,Good,159,Unhealthy
Colombia,50,Good,2,Good,8,Good,2,Good,50,Good
Ukraine,42,Good,1,Good,42,Good,0,Good,14,Good
United Kingdom of Great Britain and Northern Ireland,33,Good,1,Good,33,Good,3,Good,17,Good
Latvia,38,Good,1,Good,38,Good,0,Good,32,Good
Russian Federation,60,Moderate,1,Good,36,Good,0,Good,60,Moderate
United States of America,64,Moderate,1,Good,34,Good,6,Good,64,Moderate
United States of America,85,Moderate,2,Good,18,Good,18,Good,85,Moderate
United Kingdom of Great Britain and Northern Ireland,32,Good,1,Good,32,Good,4,Good,17,Good
India,132,Unhealthy for Sensitive Groups,0,Good,26,Good,0,Good,132,Unhealthy for Sensitive Groups
India,132,Unhealthy for Sensitive Groups,1,Good,33,Good,0,Good,132,Unhealthy for Sensitive Groups
India,172,Unhealthy,3,Good,164,Unhealthy,1,Good,172,Unhealthy
India,175,Unhealthy,1,Good,38,Good,0,Good,175,Unhealthy
United Kingdom of Great Britain and Northern Ireland,31,Good,1,Good,31,Good,4,Good,24,Good
India,150,Unhealthy,1,Good,41,Good,0,Good,150,Unhealthy
Switzerland,56,Moderate,1,Good,36,Good,0,Good,56,Moderate
Poland,59,Moderate,1,Good,37,Good,1,Good,59,Moderate
Côte d'Ivoire,56,Moderate,1,Good,21,Good,1,Good,56,Moderate
United States of America,51,Moderate,1,Good,31,Good,6,Good,51,Moderate
Germany,56,Moderate,1,Good,25,Good,6,Good,56,Moderate
Germany,56,Moderate,1,Good,38,Good,3,Good,56,Moderate
France,83,Moderate,3,Good,17,Good,9,Good,83,Moderate
Hungary,72,Moderate,1,Good,42,Good,2,Good,72,Moderate
Colombia,32,Good,1,Good,9,Good,1,Good,32,Good
Turkey,61,Moderate,1,Good,39,Good,0,Good,61,Moderate
United Kingdom of Great Britain and Northern Ireland,33,Good,1,Good,33,Good,3,Good,20,Good
Mexico,61,Moderate,1,Good,39,Good,0,Good,61,Moderate
Angola,21,Good,0,Good,21,Good,0,Good,19,Good
Italy,70,Moderate,1,Good,43,Good,2,Good,70,Moderate
Cuba,107,Unhealthy for Sensitive Groups,1,Good,18,Good,3,Good,107,Unhealthy for Sensitive Groups
Cuba,77,Moderate,1,Good,24,Good,2,Good,77,Moderate
Mexico,57,Moderate,1,Good,25,Good,1,Good,57,Moderate
Canada,46,Good,1,Good,23,Good,1,Good,46,Good
Italy,66,Moderate,1,Good,35,Good,4,Good,66,Moderate
Brazil,40,Good,1,Good,8,Good,2,Good,40,Good
Brazil,65,Moderate,1,Good,4,Good,4,Good,65,Moderate
Italy,66,Moderate,2,Good,48,Good,9,Good,66,Moderate
Spain,51,Moderate,1,Good,40,Good,4,Good,51,Moderate
Italy,71,Moderate,1,Good,45,Good,2,Good,71,Moderate
France,52,Moderate,0,Good,21,Good,0,Good,52,Moderate
Italy,69,Moderate,1,Good,33,Good,3,Good,69,Moderate
United States of America,60,Moderate,2,Good,16,Good,15,Good,60,Moderate
Albania,75,Moderate,1,Good,42,Good,1,Good,75,Moderate
Italy,72,Moderate,1,Good,40,Good,2,Good,72,Moderate
Czechia,78,Moderate,1,Good,40,Good,2,Good,78,Moderate
El Salvador,106,Unhealthy for Sensitive Groups,3,Good,2,Good,12,Good,106,Unhealthy for Sensitive Groups
India,62,Moderate,1,Good,45,Good,0,Good,62,Moderate
Russian Federation,39,Good,1,Good,39,Good,2,Good,11,Good
Czechia,75,Moderate,1,Good,37,Good,1,Good,75,Moderate
Germany,69,Moderate,2,Good,25,Good,5,Good,69,Moderate
Indonesia,170,Unhealthy,4,Good,170,Unhealthy,2,Good,152,Unhealthy
Brazil,20,Good,1,Good,9,Good,1,Good,20,Good
Russian Federation,56,Moderate,1,Good,45,Good,0,Good,56,Moderate
Bosnia and Herzegovina,58,Moderate,1,Good,40,Good,0,Good,58,Moderate
Côte d'Ivoire,56,Moderate,1,Good,14,Good,0,Good,56,Moderate
France,85,Moderate,3,Good,16,Good,10,Good,85,Moderate
United States of America,74,Moderate,2,Good,24,Good,11,Good,74,Moderate
Germany,66,Moderate,1,Good,25,Good,6,Good,66,Moderate
Germany,56,Moderate,1,Good,22,Good,6,Good,56,Moderate
Central African Republic,74,Moderate,2,Good,14,Good,0,Good,74,Moderate
Germany,69,Moderate,1,Good,41,Good,3,Good,69,Moderate
India,443,Hazardous,1,Good,40,Good,0,Good,328,Hazardous
India,65,Moderate,1,Good,48,Good,0,Good,65,Moderate
India,161,Unhealthy,1,Good,46,Good,0,Good,161,Unhealthy
Pakistan,158,Unhealthy,1,Good,44,Good,0,Good,158,Unhealthy
Spain,52,Moderate,1,Good,26,Good,1,Good,52,Moderate
Russian Federation,36,Good,1,Good,35,Good,0,Good,36,Good
Japan,32,Good,1,Good,32,Good,0,Good,10,Good
New Zealand,14,Good,0,Good,12,Good,1,Good,14,Good
India,96,Moderate,1,Good,38,Good,0,Good,96,Moderate
Russian Federation,47,Good,1,Good,24,Good,2,Good,47,Good
France,51,Moderate,1,Good,30,Good,1,Good,51,Moderate
Philippines,39,Good,1,Good,19,Good,0,Good,39,Good
United States of America,73,Moderate,3,Good,18,Good,20,Good,73,Moderate
United Republic of Tanzania,26,Good,0,Good,15,Good,0,Good,26,Good
Niger,56,Moderate,2,Good,24,Good,1,Good,56,Moderate
Malaysia,66,Moderate,1,Good,47,Good,0,Good,66,Moderate
South Africa,174,Unhealthy,10,Good,13,Good,13,Good,174,Unhealthy
Japan,35,Good,1,Good,35,Good,2,Good,26,Good
India,136,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,136,Unhealthy for Sensitive Groups
Russian Federation,48,Good,1,Good,29,Good,3,Good,48,Good
Russian Federation,22,Good,1,Good,22,Good,0,Good,14,Good
Thailand,57,Moderate,1,Good,32,Good,0,Good,57,Moderate
Thailand,63,Moderate,1,Good,25,Good,1,Good,63,Moderate
Philippines,30,Good,1,Good,17,Good,0,Good,30,Good
Germany,59,Moderate,1,Good,40,Good,4,Good,59,Moderate
United States of America,34,Good,1,Good,34,Good,8,Good,26,Good
United States of America,68,Moderate,2,Good,17,Good,22,Good,68,Moderate
United States of America,72,Moderate,2,Good,18,Good,21,Good,72,Moderate
Serbia,71,Moderate,1,Good,43,Good,0,Good,71,Moderate
Russian Federation,33,Good,1,Good,33,Good,0,Good,22,Good
Czechia,71,Moderate,1,Good,40,Good,2,Good,71,Moderate
Uruguay,19,Good,0,Good,17,Good,2,Good,19,Good
United Kingdom of Great Britain and Northern Ireland,33,Good,1,Good,33,Good,3,Good,20,Good
Japan,55,Moderate,1,Good,45,Good,2,Good,55,Moderate
Russian Federation,53,Moderate,1,Good,41,Good,0,Good,53,Moderate
Russian Federation,62,Moderate,1,Good,20,Good,11,Good,62,Moderate
Peru,58,Moderate,1,Good,5,Good,2,Good,58,Moderate
Greece,109,Unhealthy for Sensitive Groups,2,Good,41,Good,8,Good,109,Unhealthy for Sensitive Groups
India,167,Unhealthy,1,Good,30,Good,0,Good,167,Unhealthy
Russian Federation,74,Moderate,1,Good,44,Good,0,Good,74,Moderate
Russian Federation,54,Moderate,1,Good,36,Good,0,Good,54,Moderate
India,129,Unhealthy for Sensitive Groups,1,Good,35,Good,1,Good,129,Unhealthy for Sensitive Groups
United Republic of Tanzania,27,Good,0,Good,19,Good,0,Good,27,Good
Zambia,76,Moderate,2,Good,17,Good,1,Good,76,Moderate
India,26,Good,1,Good,26,Good,1,Good,22,Good
Indonesia,71,Moderate,1,Good,37,Good,1,Good,71,Moderate
Russian Federation,37,Good,1,Good,35,Good,0,Good,37,Good
India,86,Moderate,2,Good,46,Good,3,Good,86,Moderate
Switzerland,63,Moderate,1,Good,29,Good,3,Good,63,Moderate
India,61,Moderate,1,Good,37,Good,0,Good,61,Moderate
United Republic of Tanzania,32,Good,1,Good,16,Good,0,Good,32,Good
Tunisia,89,Moderate,1,Good,43,Good,0,Good,89,Moderate
Japan,54,Moderate,1,Good,53,Moderate,1,Good,54,Moderate
France,63,Moderate,1,Good,32,Good,1,Good,63,Moderate
India,152,Unhealthy,3,Good,143,Unhealthy for Sensitive Groups,1,Good,152,Unhealthy
France,58,Moderate,1,Good,30,Good,2,Good,58,Moderate
Russian Federation,33,Good,1,Good,33,Good,0,Good,9,Good
France,72,Moderate,2,Good,20,Good,6,Good,72,Moderate
United States of America,41,Good,2,Good,33,Good,8,Good,41,Good
United States of America,48,Good,1,Good,20,Good,8,Good,48,Good
India,25,Good,0,Good,20,Good,0,Good,25,Good
Japan,56,Moderate,2,Good,49,Good,3,Good,56,Moderate
India,207,Very Unhealthy,1,Good,35,Good,0,Good,207,Very Unhealthy
Zambia,37,Good,1,Good,21,Good,0,Good,37,Good
Peru,179,Unhealthy,9,Good,5,Good,25,Good,179,Unhealthy
India,191,Unhealthy,2,Good,82,Moderate,2,Good,191,Unhealthy
United States of America,50,Good,2,Good,33,Good,9,Good,50,Good
Indonesia,91,Moderate,2,Good,52,Moderate,1,Good,91,Moderate
Italy,61,Moderate,1,Good,49,Good,1,Good,61,Moderate
France,66,Moderate,1,Good,21,Good,5,Good,66,Moderate
United States of America,55,Moderate,1,Good,10,Good,13,Good,55,Moderate
Belgium,44,Good,1,Good,29,Good,3,Good,44,Good
Japan,35,Good,1,Good,35,Good,0,Good,29,Good
United States of America,63,Moderate,2,Good,18,Good,16,Good,63,Moderate
Sudan,59,Moderate,2,Good,11,Good,0,Good,59,Moderate
Italy,50,Good,1,Good,32,Good,2,Good,50,Good
Germany,35,Good,1,Good,35,Good,1,Good,34,Good
United States of America,66,Moderate,2,Good,10,Good,17,Good,66,Moderate
Italy,80,Moderate,1,Good,39,Good,4,Good,80,Moderate
India,86,Moderate,0,Good,26,Good,0,Good,86,Moderate
Turkmenistan,57,Moderate,1,Good,43,Good,0,Good,57,Moderate
Turkey,64,Moderate,1,Good,38,Good,1,Good,64,Moderate
United States of America,41,Good,1,Good,15,Good,8,Good,41,Good
United States of America,63,Moderate,1,Good,30,Good,4,Good,63,Moderate
Spain,31,Good,1,Good,18,Good,2,Good,31,Good
Germany,58,Moderate,1,Good,30,Good,4,Good,58,Moderate
Portugal,39,Good,1,Good,39,Good,3,Good,17,Good
Uzbekistan,88,Moderate,1,Good,48,Good,1,Good,88,Moderate
Portugal,37,Good,1,Good,37,Good,4,Good,17,Good
United States of America,66,Moderate,2,Good,5,Good,19,Good,66,Moderate
Italy,63,Moderate,1,Good,63,Moderate,3,Good,58,Moderate
Italy,75,Moderate,2,Good,29,Good,8,Good,75,Moderate
Peru,27,Good,0,Good,19,Good,0,Good,27,Good
Italy,57,Moderate,1,Good,44,Good,2,Good,57,Moderate
Italy,79,Moderate,2,Good,28,Good,7,Good,79,Moderate
Chile,18,Good,0,Good,18,Good,1,Good,10,Good
Peru,43,Good,1,Good,19,Good,1,Good,43,Good
United States of America,59,Moderate,1,Good,46,Good,4,Good,59,Moderate
Italy,54,Moderate,1,Good,50,Good,2,Good,54,Moderate
United States of America,39,Good,1,Good,29,Good,6,Good,39,Good
Italy,67,Moderate,1,Good,47,Good,3,Good,67,Moderate
United Republic of Tanzania,18,Good,0,Good,18,Good,0,Good,11,Good
Pakistan,172,Unhealthy,1,Good,43,Good,0,Good,172,Unhealthy
United States of America,55,Moderate,1,Good,26,Good,7,Good,55,Moderate
Mauritius,32,Good,0,Good,27,Good,0,Good,32,Good
China,158,Unhealthy,3,Good,158,Unhealthy,2,Good,113,Unhealthy for Sensitive Groups
United States of America,71,Moderate,1,Good,13,Good,7,Good,71,Moderate
Russian Federation,128,Unhealthy for Sensitive Groups,4,Good,9,Good,36,Good,128,Unhealthy for Sensitive Groups
United States of America,51,Moderate,1,Good,42,Good,3,Good,51,Moderate
Malaysia,75,Moderate,1,Good,31,Good,0,Good,75,Moderate
Thailand,59,Moderate,1,Good,23,Good,1,Good,59,Moderate
Thailand,45,Good,1,Good,26,Good,1,Good,45,Good
Brazil,170,Unhealthy,6,Good,1,Good,20,Good,170,Unhealthy
Ukraine,40,Good,1,Good,40,Good,0,Good,18,Good
Italy,62,Moderate,2,Good,38,Good,4,Good,62,Moderate
Sri Lanka,66,Moderate,0,Good,23,Good,0,Good,66,Moderate
United States of America,107,Unhealthy for Sensitive Groups,3,Good,16,Good,26,Good,107,Unhealthy for Sensitive Groups
Russian Federation,34,Good,1,Good,34,Good,1,Good,21,Good
Malaysia,63,Moderate,6,Good,36,Good,0,Good,63,Moderate
United States of America,52,Moderate,1,Good,14,Good,11,Good,52,Moderate
Czechia,96,Moderate,1,Good,36,Good,2,Good,96,Moderate
Germany,65,Moderate,1,Good,41,Good,2,Good,65,Moderate
Philippines,58,Moderate,0,Good,23,Good,1,Good,58,Moderate
Romania,39,Good,1,Good,39,Good,2,Good,38,Good
Romania,38,Good,1,Good,38,Good,0,Good,19,Good
United Kingdom of Great Britain and Northern Ireland,62,Moderate,1,Good,14,Good,11,Good,62,Moderate
Germany,57,Moderate,1,Good,43,Good,2,Good,57,Moderate
Russian Federation,56,Moderate,1,Good,37,Good,0,Good,56,Moderate
Viet Nam,50,Good,1,Good,33,Good,0,Good,50,Good
Philippines,30,Good,0,Good,15,Good,0,Good,30,Good
Brazil,50,Good,1,Good,24,Good,2,Good,50,Good
Philippines,54,Moderate,1,Good,23,Good,0,Good,54,Moderate
Brazil,165,Unhealthy,6,Good,1,Good,19,Good,165,Unhealthy
Peru,27,Good,1,Good,4,Good,0,Good,27,Good
Brazil,35,Good,1,Good,18,Good,1,Good,35,Good
Brazil,37,Good,0,Good,19,Good,1,Good,37,Good
United States of America,51,Moderate,2,Good,29,Good,12,Good,51,Moderate
United Kingdom of Great Britain and Northern Ireland,30,Good,1,Good,30,Good,3,Good,14,Good
Brazil,16,Good,0,Good,13,Good,0,Good,16,Good
Guatemala,103,Unhealthy for Sensitive Groups,3,Good,6,Good,13,Good,103,Unhealthy for Sensitive Groups
Brazil,48,Good,1,Good,4,Good,2,Good,48,Good
Chile,29,Good,0,Good,29,Good,0,Good,20,Good
Romania,39,Good,1,Good,39,Good,1,Good,20,Good
Germany,50,Good,1,Good,41,Good,3,Good,50,Good
Italy,58,Moderate,1,Good,47,Good,2,Good,58,Moderate
Brazil,50,Good,1,Good,14,Good,1,Good,50,Good
Venezuela (Bolivarian Republic of),56,Moderate,1,Good,13,Good,9,Good,56,Moderate
Dominican Republic,94,Moderate,3,Good,6,Good,11,Good,94,Moderate
United States of America,53,Moderate,1,Good,40,Good,4,Good,53,Moderate
Indonesia,149,Unhealthy for Sensitive Groups,4,Good,25,Good,9,Good,149,Unhealthy for Sensitive Groups
India,168,Unhealthy,4,Good,45,Good,6,Good,168,Unhealthy
Kazakhstan,51,Moderate,1,Good,18,Good,1,Good,51,Moderate
Brazil,30,Good,1,Good,16,Good,0,Good,30,Good
Mexico,320,Hazardous,5,Good,26,Good,10,Good,320,Hazardous
Pakistan,117,Unhealthy for Sensitive Groups,1,Good,20,Good,2,Good,117,Unhealthy for Sensitive Groups
Colombia,68,Moderate,1,Good,32,Good,0,Good,68,Moderate
Brazil,25,Good,0,Good,25,Good,0,Good,20,Good
Guatemala,86,Moderate,2,Good,38,Good,2,Good,86,Moderate
India,121,Unhealthy for Sensitive Groups,3,Good,26,Good,6,Good,121,Unhealthy for Sensitive Groups
Mexico,151,Unhealthy,1,Good,32,Good,2,Good,151,Unhealthy
Japan,79,Moderate,1,Good,28,Good,17,Good,79,Moderate
Japan,67,Moderate,2,Good,10,Good,11,Good,67,Moderate
Spain,42,Good,1,Good,42,Good,0,Good,30,Good
China,155,Unhealthy,5,Good,34,Good,36,Good,155,Unhealthy
Italy,60,Moderate,1,Good,52,Moderate,0,Good,60,Moderate
Madagascar,27,Good,0,Good,27,Good,0,Good,26,Good
Indonesia,61,Moderate,1,Good,15,Good,3,Good,61,Moderate
Mexico,199,Unhealthy,2,Good,38,Good,5,Good,199,Unhealthy
China,53,Moderate,1,Good,19,Good,11,Good,53,Moderate
India,93,Moderate,3,Good,40,Good,2,Good,93,Moderate
Brazil,51,Moderate,1,Good,28,Good,0,Good,51,Moderate
India,75,Moderate,2,Good,23,Good,4,Good,75,Moderate
Belgium,46,Good,1,Good,39,Good,1,Good,46,Good
Germany,44,Good,1,Good,44,Good,0,Good,24,Good
United Republic of Tanzania,37,Good,1,Good,28,Good,0,Good,37,Good
Latvia,33,Good,1,Good,33,Good,0,Good,13,Good
India,151,Unhealthy,2,Good,27,Good,6,Good,151,Unhealthy
Brazil,41,Good,0,Good,17,Good,0,Good,41,Good
Serbia,58,Moderate,1,Good,58,Moderate,0,Good,57,Moderate
Netherlands,50,Good,1,Good,37,Good,1,Good,50,Good
Mexico,46,Good,1,Good,29,Good,0,Good,46,Good
Argentina,23,Good,0,Good,16,Good,0,Good,23,Good
Russian Federation,40,Good,1,Good,40,Good,1,Good,28,Good
United States of America,49,Good,1,Good,45,Good,1,Good,49,Good
India,96,Moderate,2,Good,16,Good,5,Good,96,Moderate
Kazakhstan,80,Moderate,1,Good,27,Good,0,Good,80,Moderate
Brazil,24,Good,0,Good,24,Good,0,Good,19,Good
Brazil,23,Good,0,Good,23,Good,0,Good,18,Good
Peru,50,Good,0,Good,24,Good,0,Good,50,Good
United States of America,56,Moderate,1,Good,47,Good,2,Good,56,Moderate
United Kingdom of Great Britain and Northern Ireland,37,Good,1,Good,37,Good,1,Good,35,Good
